๏ครั้นว่าไหว้ครูแล้วจับบท	ให้ปรากฏเรื่องราวมาแต่ก่อน
นางพิมนอนพลางกลางดินดอน	เจ้าขุนช้างหัวกล้อนเข้านอนเคียง
พลายแก้วโดดแหวกเข้าแทรกกลาง	ชกหัวขุนช้างที่กลางเกลี้ยง
ขุนช้างทำหลับอยู่กับเตียง	ฝ่ายนางพิมนอนเคียงค่อยเมียงมอง
ขุนช้างวางร้องก้องกู่โวย	ขโมยลักเมียกูจู่จากห้อง
ลุกขึ้นงุ่นง่านเที่ยวซานร้อง	เรียกหาพวกพ้องให้ติดตาม
อ้ายเด็กๆกราวเกรียวบัดเดี๋ยวใจ	พวกขุนช้างรุกไล่ไม่เข็ดขาม
พอทันพวกพลายแก้วแล้วเลยลาม	ถ้อยทีถ้อยปามเข้าตีกัน
จมูกครากปากแตกจนเลือดไหล	บ้างก็วิ่งร้องไห้ไปตัวสั่น
เรียกหาพ่อแม่อยู่แจจัน	จนผู้ใหญ่ชวนกันมาห้ามไว้
นางพิมด่าให้อ้ายตายโหง	พวกอ้ายโล้งโต้งกูไม่เล่นได้
อ้ายหัวล้านขี้ถังมันจังไร	แล้วพาฝูงข้าไทไปเรือนพลัน
เจ้าขุนช้างหัวฟกวิ่งตกใจ	ข้าไทก็กลัววิ่งตัวสั่น
ฝนไพลใส่ทาตาเป็นมัน	ยิงฟันแลบลิ้นแทบสิ้นใจ
ท่านผู้ฟังทั้งสิ้นอย่ากินแหนง	จะประดิษฐ์คิดแต่งก็หาไม่
เด็กอุตริเล่นหากเป็นไป	เทวทูตดลใจให้ประจักษ์ตา
เด็กเล่นสิ่งไรก็ไม่ผิด	ทุจริตก็เป็นเหมือนปากว่า
อันคดีมีแต่โบราณมา	ตำรานี้มีอยู่ในสุพรรณฯ
๏ครั้นอยู่มาขุนศรีวิชัย	กับเมียรักร่วมใจทั้งสองนั่น
จึงปรึกษายินยอมลงพร้อมกัน	ว่าขุนช้างลูกนั้นจำเริญวัย
ควรจะเข้าไปเฝ้าพระพันวษา	ถวายตัวลูกยาจึงจะได้
ให้เป็นข้าบาทบงสุ์ทรงช่วงใช้	บังไว้ความผิดจะติดตัว
ปรึกษากันพลันสั่งซึ่งข้าไท	ให้พาไปอาบน้ำแล้วดำหัว
ทาขมิ้นผัดแป้งแต่งตัว	เอามุหน่ายป้ายทั่วจนท้ายทอย
กำไลทองสองเส้นเน้นสองแขน	ให้ถือแหวนเพชรยอดสอดใส่ก้อย
ดูเหมือนลูกเสือปลานัยน์ตาลอย	วิ่งร่อยร่อยยักคอเข้าหอกลาง
จึงให้หาธูปเทียนทั้งดอกไม้	ใส่พานจัดไปตามเยี่ยงอย่าง
ทั้งเสบียงเลี้ยงกันที่ตามทาง	ให้ผูกช้างพลายนั้นมาทันใด
พ่อลูกขึ้นนั่งสัปคับ	ควาญขับออกจากบ้านรั้วใหญ่
ข้ามธารผ่านทุ่งมุ่งทิวไม้	บ่าวไพร่งุ่มง่ามตามกันมา
ครั้นถึงวัดธรรมาก็ยับยั้ง	ปลงช้างข้างฝั่งแม่น้ำหน้า
เจ้าขุนช้างกะจิริดกับบิดา	ข้ามท่าคอยเข้าในกรุงไกร
ชาวบ้านร้านตลาดพอผาดเห็น	ร้องว่าเป็นเวทนาน่ามันไส้
เด็กอะไรหัวล่อนกล้อนสุดใจ	แลไปเหมือนหนึ่งหลอกบอกเพื่อนกัน
จะว่าค่างฤๅลิงวิ่งมาเกิด	อ้ายผีนอกละเมิดที่ไหนปั้น
ชายหญิงวิ่งหัวร่ออยู่งองัน	ดูจนพ่อลูกนั้นเข้าในวัง
พวกขุนนางต่างคนที่คอยเฝ้า	พอเห็นเข้าก็หัวเราะราวจะคลั่ง
ขุนช้างน้อยพลอยประหม่าละล้าละลัง	เข้าหมอบชิดติดหลังบังบิดาฯ
๏จะกล่าวถึงพระองค์ผู้ทรงภพ	เลิศลบสยบแสยงทั้งแหล่งหล้า
ทุกประเทศเขตขัณฑสิมา	ออกระอาอ่อนเกล้าอภิวันท์
ต่างถวายเครื่องราชบรรณา	ขอขึ้นอยุธยาทุกเขตขัณฑ์
พระเดชปกเกศเป็นนิรันดร์	เกษมสันต์ทั่วหน้าประชากร
ขาดเข็ญเป็นสุขโสมนัส	สืบพระวงศ์พงศ์กษัตริย์มาแต่ก่อน
กรุงศรีอยุธยาสถาพร	สโมสรโสมนัสสวัสดี
เสด็จในพระที่นั่งบัลลังก์รัตน์	พร้อมขนัดนวลอนงค์ส่งศรี
น้อมเศียรหมอบเฝ้าเจ้าธานี	ทุกหน้าที่พร้อมพรักพนักงาน
แต่ละหน้าหน้านวลควรสวาดิ	บำเรอราชหฤทัยเกษมสานต์
ดังดาวล้อมแขไขในคัคนานต์	หมอบกรานคลานเฝ้าเป็นเหล่าไป
ทั้งพวกจำเรียงเสียงดนตรี	ก็เรื่อยรี่ขับประสานขานไข
เพลิดเพลินเจริญราชหฤทัย	นางในปฏิบัติเป็นอัตรา
พระสุริย์ฉายบ่ายแล้วสี่โมงเศษ	จะประเวศออกที่พระลานหน้า
บทจรสู่สรงพระคงคา	ไขสุหร่ายธาราลงซ่าเซ็น
ทรงสุคนธ์หอมฟุ้งจรุงกลิ่น	พระภูษาดอกกินรีเด่น
จับพระแสงนาคาหน้าดังเป็น	พอจวนเย็นออกหน้าพระลานพลัน
สนั่นเสียงแตรสังข์ประดังก้อง	ประโคมฆ้องกลองชนะคะครื้นครั่น
ตำรวจหน้าข้าราชการนั้น	ต่างก้มเกล้าอภิวันท์อัญชลี
ประทับเหนืออาสน์เอี่ยมลอออ่อน	ดังพระยาไกรสรราชสีห์
จึงขุนศรีวิชัยใจภักดี	กับขุนช้างคลานรี่ติดเข้ามา
ยกพานธูปเทียนแลดอกไม้	เข้าไปตั้งไว้ที่ตรงหน้า
ขุนช้างหมอบชิดกับบิดา	ภาวนาคิดกลัวแทบตัวตายฯ
๏ครานั้นพระองค์ผู้ทรงเดช	ทอดพระเนตรเห็นดอกไม้ธูปเทียนถวาย
ทั้งขุนศรีวิชัยกับลูกชาย	แย้มพระโอษฐ์อภิปรายประภาษมา
ฮ้าเฮ้ยอ้ายขุนศรีวิชัย	นั่นมึงพาลูกใครเข้ามาหวา
ดูหัวหูน่าสมเพชเวทนา	เป็นเชื้อวงศ์พงศาของผู้ใด
ฤๅลูกหลานว่านเครือจองมึงเอง	หัวล้านโจงเหม่งไม่เอาส่ำได้
จะเอามาให้กูฤๅว่าไร	มีธูปเทียนดอกไม้ใส่พานมาฯ
๏ครานั้นขุนศรีวิชัย	กราบลงทันใดแล้วทูลว่า
ขอเดชะพระองค์จงกรุณา	อันชีวาอยู่ใต้บทมาลย์
ขุนช้างบุตรข้าพระพุทธเจ้า	ขอทูลเกล้าถวายไว้เป็นทหาร
ด้วยชะตาราศีมีลาภสการ	มาสู่โพธิสมภารพระทรงชัย
แต่เกิดบุตรขุนช้างคนนี้	เงินทองของดีทั้งน้อยใหญ่
วัวควายช้างม้าข้าไท	มิพอที่จะได้ก็ได้มาฯ
๏ครานั้นสมเด็จนเรนทร์สูร	ฟังทูลทรงพระสรวลอยู่ร่วนร่า
เออหัวหูดูสมเพชเวทนา	แต่ได้ลาภอย่างว่าก็ชอบกล
